,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,trend,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
302,148.0,148.16,146.56,147.0,142.2059,787924,0.0,1.0,2018-10-08,UP,145.062,147.2574,2.3596,-0.004,2.3636,38.3254,17.038,48.743,9.2131,32.337,66.6667,83.3333,134.1276,145.062,155.9964,279581607.2345,130899452.0
303,151.0,151.94,149.02,149.3,144.4309,1177414,0.0,1.0,2018-10-05,UP,144.9893,147.2322,2.7352,0.3706,2.3646,54.1591,38.7985,50.1261,9.3434,73.9503,68.3333,85.0,134.0761,144.9893,155.9026,279936172.2834,131687376.0
304,151.86,154.26,150.82,152.08,147.1202,1162913,0.0,1.0,2018-10-04,UP,144.8613,147.1045,2.8693,0.5973,2.272,62.5796,59.1396,50.5303,9.4889,110.0066,70.0,86.6667,134.0534,144.8613,155.6692,280887781.701,132864790.0
305,151.92,154.46,151.1,152.94,147.9521,984810,0.0,1.0,2018-10-02,UP,144.732,146.9433,2.9112,0.7885,2.1227,61.9753,64.5391,50.5582,9.6077,121.7089,71.6667,88.3333,134.0776,144.732,155.3864,281198793.8571,134027703.0
306,152.02,154.46,150.56,152.5,147.5265,904635,0.0,1.0,2018-10-01,DOWN,144.641,146.7746,2.9162,0.9906,1.9255,56.0232,64.06,50.6042,9.7241,122.1718,73.3333,90.0,134.1416,144.641,155.1404,281105004.7716,133042893.0
307,153.08,153.4,149.86,151.6,146.6559,1458915,0.0,1.0,2018-09-28,DOWN,144.587,146.5968,2.87,1.1921,1.6779,49.618,57.3268,51.0876,9.8424,112.8675,75.0,91.6667,134.2073,144.587,154.9667,281109644.9057,132138258.0
308,150.36,155.68,149.64,153.86,148.8421,1594113,0.0,1.0,2018-09-27,UP,144.536,146.377,2.6613,1.2814,1.3799,49.3659,46.6828,49.8793,9.9787,138.4726,76.6667,93.3333,134.2945,144.536,154.7775,281134365.03,133597173.0
309,150.28,151.54,146.28,151.3,146.3656,1507699,0.0,1.0,2018-09-26,DOWN,144.457,146.242,2.6332,1.5737,1.0595,59.6608,44.8443,49.8435,10.1172,88.4086,78.3333,95.0,134.3239,144.457,154.5901,280500939.5258,132003060.0
310,152.6,155.0,149.06,150.48,145.5724,1762343,0.0,1.0,2018-09-25,DOWN,144.3357,146.1051,2.5672,1.9011,0.6661,73.8864,56.5706,50.8809,10.2564,121.9378,80.0,96.6667,134.3106,144.3357,154.3607,279130819.7706,130495361.0
311,152.8,153.62,151.06,152.94,147.9521,1086990,0.0,1.0,2018-09-24,UP,144.1673,145.885,2.2094,2.0186,0.1908,84.6732,77.5675,50.9708,10.42,145.5376,81.6667,98.3333,134.3663,144.1673,153.9683,280050562.4996,132257704.0
312,154.32,157.2,152.8,154.38,149.3452,2831151,0.0,1.0,2018-09-21,UP,143.9707,145.6506,1.7002,2.014,-0.3138,88.8929,87.521,51.6531,10.5549,192.7045,83.3333,100.0,134.3996,143.9707,153.5418,279541030.2683,133344694.0
313,150.5,154.1,150.5,152.5,147.5265,1528552,0.0,1.0,2018-09-20,DOWN,143.8153,145.3567,0.8707,1.6881,-0.8173,89.6745,88.9312,49.9991,10.6643,161.7765,85.0,40.0,134.6263,143.8153,153.0044,280338894.9186,130513543.0
314,148.9,151.96,148.28,151.1,146.1722,1410073,0.0,1.0,2018-09-19,DOWN,143.7427,145.1823,0.1884,1.4277,-1.2394,90.0192,90.2264,49.2845,10.8225,134.6425,86.6667,41.6667,134.6984,143.7427,152.787,280169058.6872,128984991.0
315,146.0,150.24,145.4,148.24,143.4054,2383648,0.0,1.0,2018-09-18,DOWN,143.6643,145.0563,-0.5224,1.0739,-1.5963,89.6062,89.866,47.959,10.9951,90.012,88.3333,43.3333,134.7192,143.6643,152.6095,279418040.5923,127574918.0
316,143.08,145.26,142.24,144.48,139.7681,1099146,0.0,1.0,2018-09-17,DOWN,143.6697,145.0243,-1.1268,0.738,-1.8648,86.4701,89.965,46.5764,11.1432,12.8965,90.0,45.0,134.7186,143.6697,152.6208,279004344.8969,125191270.0
317,141.9,144.7,141.14,144.0,139.3037,1657255,0.0,1.0,2018-09-14,DOWN,143.7503,145.0902,-1.5844,0.4648,-2.0493,81.5169,88.9874,46.0064,11.2108,-2.2253,91.6667,46.6667,134.735,143.7503,152.7657,278472970.855,124092124.0
318,138.66,141.88,138.18,140.78,136.1887,1573485,0.0,1.0,2018-09-13,DOWN,143.8753,145.1984,-2.0254,0.1401,-2.1655,71.2054,80.4577,44.4049,11.2699,-61.8645,93.3333,48.3333,134.7586,143.8753,152.992,277467442.9549,122434869.0
319,137.42,138.56,136.56,138.4,133.8863,1026573,0.0,1.0,2018-09-12,DOWN,144.1023,145.42,-2.2288,-0.0283,-2.2005,58.4985,75.1055,43.7773,11.2806,-110.2396,95.0,0.0,134.8393,144.1023,153.3654,276829545.7356,120861384.0
320,137.5,137.76,136.04,137.38,132.8996,940053,0.0,1.0,2018-09-11,DOWN,144.3687,145.6912,-2.3299,-0.1365,-2.1934,41.1573,58.0531,43.8087,11.2307,-126.7812,96.6667,1.6667,134.9715,144.3687,153.7658,275967228.1759,119834811.0
321,136.12,138.94,135.14,137.5,133.0157,1203348,0.0,1.0,2018-09-10,UP,144.6217,145.9689,-2.4331,-0.2738,-2.1593,26.7201,42.337,43.1171,11.165,-127.8014,98.3333,0.0,135.1607,144.6217,154.0827,275442535.795,120774864.0
322,136.06,136.54,134.2,136.08,131.642,928359,0.0,1.0,2018-09-07,DOWN,145.025,146.3027,-2.3889,-0.298,-2.0909,17.195,23.0819,43.0872,11.0983,-158.1198,100.0,0.0,135.0015,145.025,155.0485,275151199.7245,119571516.0
323,135.52,138.04,135.42,136.24,131.7968,1033049,0.0,1.0,2018-09-06,UP,145.4873,146.65,-2.2916,-0.2753,-2.0163,16.2496,14.7412,42.8208,10.9856,-142.4453,96.6667,1.6667,134.6357,145.4873,156.3389,274587830.3617,120499875.0
324,135.7,137.2,135.16,136.14,131.7001,1234483,0.0,1.0,2018-09-05,DOWN,145.8737,147.0272,-2.0792,-0.1317,-1.9475,24.5467,13.7618,42.8866,10.8873,-148.9082,98.3333,3.3333,134.8204,145.8737,156.927,274974231.0221,119466826.0
