,time,summary,title,trend
437,2019-12-11,"['...Christian', 'Sewing,', 'who', 'told', 'the', 'German', 'bank’s', 'investor', 'day', 'that', 'its', 'fixed', 'income,', 'currencies', 'and', 'commodities...']","['BofA', 'chief', 'joins', 'chorus', 'of', 'bank', 'bosses', 'predicting', 'strong', 'end', 'to', 'year']",DOWN
438,2019-12-11,"['...radio', 'equipment', 'from', 'Huawei', 'and', 'Nokia.', 'The', 'German', 'network', 'is', 'owned', 'by', 'Telefónica,', 'which', 'this', 'week', 'confirmed', 'that', 'it', 'would...']","['Telefónica', 'chooses', 'Huawei', 'to', 'help', 'build', 'German', '5G', 'network']",DOWN
439,2019-12-11,"['...Volcker.', '(FT)', 'German', 'payments', 'group', 'funds', 'London', 'spy', 'operation', 'A', 'former', 'Libyan', 'intelligence', 'chief,', 'who', 'told', 'associates...']","['FirstFT:', 'Today’s', 'top', 'stories']",DOWN
440,2019-12-11,"['...the', 'fleet', 'for', 'its', 'summer', 'high', 'season.', 'The', 'grounding', 'of', 'the', 'planes', 'has', 'cost', 'the', 'Anglo-German', 'holiday', 'group', 'company', '€293m...']","['Tui', 'braced', 'for', 'hit', 'of', 'up', 'to', '€400m', 'next', 'year', 'from', '737', 'Max', 'grounding']",DOWN
441,2019-12-11,"['...shareholder', 'in', 'German', 'payments', 'group', 'Wirecard,', 'funded', 'a', 'surveillance', 'operation', 'in', 'London', 'that', 'targeted', 'a', 'string', 'of...']","['Opening', 'Quote:', 'Saga', 'hires', 'old', 'hand', 'for', 'group', 'turnround']",DOWN
442,2019-12-11,"['A', 'former', 'Libyan', 'intelligence', 'chief,', 'who', 'told', 'associates', 'he', 'is', 'a', 'shareholder', 'in', 'German', 'payments', 'group', 'Wirecard,', 'funded', 'a...']","['Wirecard', 'critics', 'targeted', 'in', 'London', 'spy', 'operation']",DOWN
443,2019-12-11,"['...Green', 'Pact?', 'German', 'conservatives', 'are', 'leading', 'the', 'resistance', 'against', 'Brussels', 'doing', 'any', 'rewriting', 'of', 'its', 'budget', 'rules', 'to...']","['Brussels’', 'Green', 'gambit']",DOWN
444,2019-12-11,"['Senior', 'German', 'politicians', 'have', 'warned', 'Brussels', 'against', 'any', 'attempt', 'to', 'loosen', 'the', 'EU’s', 'budget', 'rules', 'in', 'a', 'bid', 'to', 'free', 'up...']","['German', 'politicians', 'warn', 'EU', 'on', 'looser', 'budget', 'rules', 'for', 'green', 'drive']",DOWN
445,2019-12-11,"['...to', 'see', 'what', 'it', 'means', 'for', 'SMEs,', 'the', 'steel', 'sector', 'and', 'the', 'chemical', 'industry,”', 'he', 'adds.', 'Ms', 'von', 'der', 'Leyen,', 'the', 'former', 'German...']","['Is', 'the', 'EU’s', 'green', 'policy', 'protecting', 'the', 'planet', 'or', 'European', 'industry?']",DOWN
446,2019-12-11,"['...visual', 'influences', 'include', 'Willem', 'de', 'Kooning,', 'Lee', 'Krasner,', 'Arshile', 'Gorky', 'and', 'the', 'German', 'Expressionists,', 'he', 'says,', '“I', 'still...']","['Native', 'American', 'art', 'breaks', 'free', 'in', 'Stretching', 'the', 'Canvas']",DOWN
447,2019-12-11,"['...stock', 'options', 'is', 'all', 'but', 'impossible.', 'Tax', 'is', 'the', 'main', 'obstacle:', 'under', 'German', 'law,', 'an', 'employee', 'is', 'required', 'to', 'pay', 'tax', 'on', 'the...']","['Germany’s', 'tech', 'scene', 'lacks', 'lure', 'of', 'stock', 'options']",DOWN
448,2019-12-11,"['Gideon', 'Rachman', 'talks', 'to', 'Franziska', 'Brantner,', 'a', 'rising', 'star', 'of', ""Germany's"", 'Green', 'party', 'and', 'its', 'spokesperson', 'on', 'European...']","['Tensions', 'at', 'the', 'heart', 'of', 'Europe']",DOWN
449,2019-12-11,"['...supplier.', '2.', 'India', 'gets', 'personal', 'on', 'data', 'access', 'India', 'has', 'proposed', 'its', 'first', 'major', 'law', 'on', 'the', 'use', 'and...']","['Competition', 'on', 'the', 'menu', 'for', 'Amazon']",DOWN
450,2019-12-11,"['After', 'independence', 'and', 'partition', 'in', '1947,', 'India', 'was', 'established', 'on', 'the', 'principle', 'of', 'secular', 'democracy.', 'While', 'Pakistan’s...']","['India’s', 'citizenship', 'bill', 'puts', 'secularism', 'at', 'risk']",DOWN
451,2019-12-11,"['India', 'has', 'passed', 'a', 'controversial', 'law', 'offering', 'fast-track', 'citizenship', 'to', 'non-Muslims', 'from', 'neighbouring', 'Muslim-majority...']","['India', 'passes', 'citizenship', 'law', 'giving', 'preference', 'to', 'non-Muslims']",DOWN
