,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
825,1424.0,1424.0,1397.5,1406.4,1341.9713,210406,0.0,1.0,2016-07-27,1394.146,1393.6112,12.4022,0.1364,12.2658,69.0398,54.6637,51.3878,9.8241,28.4752,63.3333,21.6667,1295.0363,1394.146,1493.2557,-9599481.5696,104296580.0
826,1425.2,1428.3,1405.5,1411.9,1347.2192,285698,0.0,1.0,2016-07-26,1394.2577,1392.5811,12.4001,0.1683,12.2318,71.38,77.2792,51.4492,9.8402,38.0231,65.0,23.3333,1294.9987,1394.2577,1493.5166,-9530405.2639,104506986.0
827,1425.0,1436.85,1415.15,1425.2,1359.9099,238944,0.0,1.0,2016-07-25,1394.3043,1391.4754,12.0948,-0.0948,12.1897,56.1496,75.1767,51.4397,9.8704,55.7997,66.6667,25.0,1294.9846,1394.3043,1493.6241,-9405099.3803,104792684.0
828,1408.0,1427.97,1404.0,1425.45,1360.1486,359138,0.0,1.0,2016-07-22,1394.1127,1390.3389,11.5497,-0.6637,12.2134,36.907,61.6841,50.6319,9.9177,44.0554,68.3333,26.6667,1294.9864,1394.1127,1493.2389,-9387480.2715,105031628.0
829,1407.4,1420.0,1395.0,1407.38,1342.9064,291874,0.0,1.0,2016-07-21,1394.6043,1389.7402,12.4168,0.0375,12.3793,18.7724,31.5879,50.6033,9.9482,23.45,70.0,28.3333,1294.9164,1394.6043,1494.2923,-9671104.2091,104672490.0
830,1387.45,1409.0,1380.0,1404.72,1340.368,177584,0.0,1.0,2016-07-20,1394.736,1389.1416,13.404,1.034,12.3699,16.58,17.4488,49.6524,9.9632,6.2101,71.6667,30.0,1294.96,1394.736,1494.512,-9668302.3354,104380616.0
831,1410.1,1413.97,1376.6801,1380.03,1316.8093,462542,0.0,1.0,2016-07-19,1395.1123,1389.199,16.5003,4.3889,12.1114,25.4729,7.2804,50.743,9.9563,-7.423,73.3333,31.6667,1295.2787,1395.1123,1494.9459,-9793468.0823,104203032.0
832,1418.53,1424.35,1404.47,1408.15,1343.6411,193178,0.0,1.0,2016-07-18,1395.0523,1388.4904,17.9062,6.8919,11.0142,42.8808,25.0107,51.1542,9.9494,29.7621,75.0,33.3333,1295.2505,1395.0523,1494.8541,-9414031.8794,104665574.0
833,1430.0,1438.3199,1405.6,1410.3,1345.6926,201544,0.0,1.0,2016-07-15,1394.6852,1387.4722,18.5818,9.2905,9.2912,57.7022,44.1275,51.7149,9.988,39.808,76.6667,35.0,1295.0696,1394.6852,1494.3007,-9292373.5071,104858752.0
834,1445.0,1446.5,1427.47,1429.88,1364.3756,263182,0.0,1.0,2016-07-14,1394.5827,1386.0305,18.006,11.0374,6.9686,64.4399,59.5042,52.4543,10.0291,68.7333,78.3333,36.6667,1295.1001,1394.5827,1494.0652,-9148731.2419,105060296.0
835,1434.0,1442.9,1414.95,1433.8,1368.1161,258710,0.0,1.0,2016-07-13,1394.2077,1384.0316,15.4819,11.2726,4.2093,66.5842,69.4749,51.959,10.1077,62.1628,80.0,38.3333,1295.3203,1394.2077,1493.095,-8952209.9462,105323478.0
836,1437.0,1454.28,1421.88,1428.6,1363.1542,348976,0.0,1.0,2016-07-12,1393.3952,1382.3377,13.155,11.7639,1.3911,65.0264,64.3408,52.1046,10.1808,70.6822,81.6667,40.0,1295.0292,1393.3952,1491.7611,-9042458.5234,105064768.0
837,1409.0,1434.22,1408.8,1429.62,1364.1274,357570,0.0,1.0,2016-07-11,1392.0168,1380.4848,9.6882,11.2381,-1.5499,70.2143,65.9369,50.8406,10.2667,54.2568,83.3333,41.6667,1293.816,1392.0168,1490.2176,-8838242.2063,105413744.0
838,1404.5699,1418.0,1396.2,1402.53,1338.2787,191400,0.0,1.0,2016-07-08,1390.9085,1379.5181,7.9734,12.3328,-4.3594,78.7411,64.8015,50.6379,10.3164,23.7036,85.0,43.3333,1292.0009,1390.9085,1489.8161,-9066400.84,105056174.0
839,1415.0,1420.0,1401.0,1404.5699,1340.2251,253010,0.0,1.0,2016-07-07,1389.9723,1378.6689,6.1197,13.5623,-7.4426,88.1156,79.9045,51.1259,10.336,30.2947,86.6667,45.0,1290.5378,1389.9723,1489.4069,-8986154.4369,105247574.0
840,1417.5,1430.0,1405.0,1418.12,1353.1544,151092,0.0,1.0,2016-07-05,1388.814,1377.4374,2.6028,13.4359,-10.8332,92.7633,91.5173,51.2423,10.3636,47.2106,88.3333,46.6667,1288.9543,1388.814,1488.6737,-8828221.4935,105500584.0
841,1419.0,1425.0,1408.1801,1420.45,1355.3776,293932,0.0,1.0,2016-07-04,1387.7732,1376.0793,-2.1785,12.0136,-14.1922,93.7911,92.925,51.3112,10.398,49.209,90.0,48.3333,1287.8293,1387.7732,1487.717,-8835715.5962,105651676.0
842,1376.88,1408.55,1375.78,1404.15,1339.8243,433848,0.0,1.0,2016-07-01,1386.1345,1374.6244,-8.4023,8.7933,-17.1956,94.8091,93.8476,49.4333,10.4237,14.6786,91.6667,50.0,1285.0745,1386.1345,1487.1945,-8970621.5206,105357744.0
843,1389.95,1394.72,1365.5,1379.47,1316.2749,744744,0.0,1.0,2016-06-30,1385.2698,1374.5479,-11.9352,7.4587,-19.3939,94.7908,94.6008,50.022,10.419,-10.1223,93.3333,51.6667,1283.0271,1385.2698,1487.5126,-9287964.1265,104923896.0
844,1374.9,1389.05,1353.38,1385.7,1322.2196,280750,0.0,1.0,2016-06-29,1384.604,1374.0258,-17.6017,3.6569,-21.2585,88.9062,95.979,49.3388,10.388,-14.9619,95.0,53.3333,1281.9723,1384.604,1487.2357,-9255339.3879,105668640.0
